horizon,mean_ic,std_ic,icir,pct_positive_ic,n_days
1,0.007771128669998525,0.26890260794469717,0.028899417262612585,0.5142857142857142,245
2,0.03112215389338434,0.2851351906623131,0.10914876491075579,0.5428571428571428,245
3,0.02684106488582747,0.27308342551046627,0.09828888309736965,0.49795918367346936,245
5,0.019573625421578634,0.2651427562334497,0.07382296880230318,0.5308641975308642,243
10,0.008940418272572182,0.2323664514796705,0.03847551234544015,0.5,238
15,0.011881635419019647,0.2491821843493829,0.04768252373275687,0.5064377682403434,233
20,0.0279580530273051,0.24955559235119437,0.1120313624868014,0.5394736842105263,228
