rank_drift_threshold,weight_change_threshold,avg_turnover,sharpe,tx_cost_total
0.04,0.01,0.43945381005031037,-0.43132462497587487,0.2691654586558151
0.04,0.015,0.4345446331051829,-0.4719451182425441,0.2661585877769246
0.04,0.02,0.4330433046659041,-0.49860208169946696,0.26523902410786626
0.04,0.025,0.4301211294605305,-0.5813405095499472,0.2634491917945749
0.06,0.01,0.41334972514285656,-0.262013058733193,0.25317670664999964
0.06,0.015,0.40909141026820034,-0.13693777338835544,0.25056848878927274
0.06,0.02,0.40547040057848327,-0.1639218121586605,0.24835062035432104
0.06,0.025,0.402085668853588,-0.362654601856049,0.24627747217282264
0.08,0.01,0.41334972514285656,-0.262013058733193,0.25317670664999964
0.08,0.015,0.40909141026820034,-0.13693777338835544,0.25056848878927274
0.08,0.02,0.40547040057848327,-0.1639218121586605,0.24835062035432104
0.08,0.025,0.402085668853588,-0.362654601856049,0.24627747217282264
0.1,0.01,0.39673416945124523,-0.24457222334966125,0.24299967878888773
0.1,0.015,0.3941464017742021,-0.2369389153439012,0.24141467108669878
0.1,0.02,0.39080066469483293,-0.1362697047772684,0.23936540712558513
0.1,0.025,0.38734072767028643,-0.2702950262709339,0.2372461956980505
0.12,0.01,0.3935272824173593,-0.38471353004887326,0.24103546048063262
0.12,0.015,0.39223943156926316,-0.41277991807815106,0.24024665183617372
0.12,0.02,0.3875487320228834,-0.17744486780469435,0.23737359836401611
0.12,0.025,0.38305957666167784,-0.44108692135285427,0.23462399070527767
