regime,sharpe,mean_daily_return,estimated_avg_turnover,cost_adjusted_sharpe_proxy
HIGH,1.589391297995221,0.0004067143166651027,0.06783142068628135,0.9266984362499441
MEDIUM,3.2078408118843855,0.00038275906086702516,0.03912040969373185,2.3881864939113107
LOW,1.6828870537131535,0.00019337356936839251,0.048562838334309175,0.6263081713029178
