decile,mean_future_return,metric,value
1,0.0018264500140607156,decile_spread_mean,0.0025841118205731455
1,0.0018264500140607156,monotonicity_spearman,0.6969696969696969
2,0.0025321476170207715,decile_spread_mean,0.0025841118205731455
2,0.0025321476170207715,monotonicity_spearman,0.6969696969696969
3,-0.00040552941268178665,decile_spread_mean,0.0025841118205731455
3,-0.00040552941268178665,monotonicity_spearman,0.6969696969696969
4,0.00048521249758673186,decile_spread_mean,0.0025841118205731455
4,0.00048521249758673186,monotonicity_spearman,0.6969696969696969
5,0.0005191013713950003,decile_spread_mean,0.0025841118205731455
5,0.0005191013713950003,monotonicity_spearman,0.6969696969696969
6,0.001302025281561577,decile_spread_mean,0.0025841118205731455
6,0.001302025281561577,monotonicity_spearman,0.6969696969696969
7,0.0028175297406098916,decile_spread_mean,0.0025841118205731455
7,0.0028175297406098916,monotonicity_spearman,0.6969696969696969
8,0.004093166691134466,decile_spread_mean,0.0025841118205731455
8,0.004093166691134466,monotonicity_spearman,0.6969696969696969
9,0.004750666790123692,decile_spread_mean,0.0025841118205731455
9,0.004750666790123692,monotonicity_spearman,0.6969696969696969
10,0.004410561834633861,decile_spread_mean,0.0025841118205731455
10,0.004410561834633861,monotonicity_spearman,0.6969696969696969
