,Gross Sharpe,Net Sharpe,Turnover,Ann.Return,Alpha/Turnover,Max DD
A,3.046237974058555,-0.06364106784774007,1.3186555219608427,-0.006775932287742383,-0.005138515840483816,-0.1709542834990775
B,2.58627584042723,1.1489888723050206,1.2561640175459468,0.25311199485861224,0.20149597610102907,-0.1796118164239906
C,2.3658377251527867,1.2673186609776141,1.2202147947914348,0.35627570131059344,0.29197785736665965,-0.1975957033129453
D,2.7408383333671016,1.406948081682256,1.2503651380906209,0.3324319008554888,0.26586785789858586,-0.17515699940746088
E,3.637885639598706,2.177132864043353,1.2654118890004824,0.4736762314262671,0.3743257318374319,-0.13243394827731614
